#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A189D7
#Date Time: 2024-04-26 12:27:54.858
#Sample rate: 1.72414e+06Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 1 V/div Offset: 0 V Sample Mode: Average
#Channel 2: Range: 1 V/div Offset: 9.7 V Sample Mode: Average
#Wavegen Channel 1: Enabled
#Mode: Simple
#Type: Square
#Frequency: 1 kHz
#Period: 1 ms
#Amplitude: 500 mV
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °

Time (s),Channel 1 (V),Channel 2 (V)
-0.002433493708694211,-0.4505832376345826,-10.3988448130493
-0.002432913708694211,-0.4505832376345826,-10.38786065599859
-0.002432333708694211,-0.450583237634581,-10.38786065599857
-0.002431753708694211,-0.446925447807218,-10.3622309562136
-0.002431173708694211,-0.4469254478072163,-10.32927848506145
-0.002430593708694211,-0.4469254478072163,-10.27069631412431
-0.002430013708694211,-0.4432676579798501,-10.20112998613642
-0.002429433708694211,-0.4396098681524838,-10.16817751498427
-0.002428853708694211,-0.4432676579798501,-10.10227257267997
-0.002428273708694211,-0.4432676579798501,-10.04002901605925
-0.002427693708694211,-0.4432676579798501,-9.977785459438522
-0.002427113708694211,-0.4432676579798501,-9.933848831235657
-0.002426533708694211,-0.4469254478072163,-9.886250817349222
-0.002425953708694211,-0.4432676579798501,-9.849636960513502
-0.002425373708694211,-0.4432676579798501,-9.798377560943493
-0.002424793708694211,-0.4359520783251175,-9.758102318424202
-0.002424213708694211,-0.4359520783251175,-9.710504304537766
-0.002423633708694211,-0.4396098681524838,-9.662906290651314
-0.002423053708694211,-0.4396098681524821,-9.629953819499161
-0.002422473708694211,-0.4359520783251158,-9.582355805612728
-0.002421893708694211,-0.4322942884977529,-9.545741948777041
-0.002421313708694211,-0.4322942884977512,-9.49814393489061
-0.002420733708694211,-0.4322942884977512,-9.560387491511285
-0.002420153708694211,-0.4396098681524804,-9.728811232955549
-0.002419573708694211,-0.4396098681524838,-9.864282503247789
-0.002418993708694211,-0.4359520783251175,-10.00341515922353
-0.002418413708694211,-0.4396098681524838,-10.10593395836354
-0.002417833708694211,-0.4432676579798501,-10.2157755288707
-0.002417253708694211,-0.4432676579798501,-10.29632601390929
-0.002416673708694211,-0.4432676579798501,-10.38053788463144
-0.002416093708694211,-0.4396098681524838,-10.43545866988502
-0.002415513708694211,-0.4396098681524838,-10.48305668377146
-0.002414933708694211,-0.4396098681524838,-10.51600915492361
-0.002414353708694211,-0.4432676579798501,-10.53065469765789
-0.002413773708694211,-0.4396098681524821,-10.54530024039218
-0.002413193708694211,-0.4359520783251175,-10.53065469765789
-0.002412613708694211,-0.4359520783251208,-10.52699331197431
-0.002412033708694211,-0.4432676579798484,-10.48671806945501
-0.002411453708694211,-0.4396098681524854,-10.44644282693576
-0.002410873708694211,-0.4396098681524838,-10.36955372758076
-0.002410293708694211,-0.4396098681524838,-10.32561709937788
-0.002409713708694211,-0.4322942884977512,-10.281680471175
-0.002409133708694211,-0.4359520783251175,-10.2157755288707
-0.002408553708694211,-0.4396098681524838,-10.14987058656641
-0.002407973708694211,-0.4359520783251175,-10.09494980131283
-0.002407393708694211,-0.4322942884977512,-10.05833594447711
-0.002406813708694211,-0.4322942884977512,-10.01073793059067
-0.002406233708694211,-0.4322942884977512,-9.963139916704234
-0.002405653708694211,-0.4359520783251175,-9.911880517134225
-0.002405073708694211,-0.4359520783251175,-9.864282503247789
-0.002404493708694211,-0.4359520783251175,-9.824007260728498
-0.002403913708694211,-0.4396098681524804,-9.776409246842043
-0.002403333708694211,-0.4322942884977529,-9.736134004322746
-0.002402753708694211,-0.4359520783251158,-9.684874604752743
-0.002402173708694211,-0.4322942884977512,-9.644599362233455
-0.002401593708694211,-0.4322942884977512,-9.611646891081335
-0.002401013708694211,-0.424978708843022,-9.736134004322713
-0.002400433708694211,-0.4359520783251125,-9.878928045982011
-0.002399853708694211,-0.4322942884977512,-10.02172208764139
-0.002399273708694211,-0.4396098681524838,-10.14254781519926
-0.002398693708694211,-0.4359520783251175,-10.24506661433928
-0.002398113708694211,-0.4359520783251175,-10.34758541347929
-0.002397533708694211,-0.4359520783251175,-10.41715174146716
-0.002396953708694211,-0.4432676579798501,-10.48671806945503
-0.002396373708694211,-0.4432676579798501,-10.53065469765789
-0.002395793708694211,-0.4396098681524838,-10.57825271154433
-0.002395213708694211,-0.4396098681524838,-10.60022102564576
-0.002394633708694211,-0.4396098681524838,-10.61486656838005
-0.002394053708694211,-0.4396098681524838,-10.60754379701291
-0.002393473708694211,-0.4359520783251192,-10.59289825427861
-0.002392893708694211,-0.4396098681524821,-10.57092994017717
-0.002392313708694211,-0.4359520783251192,-10.52333192629072
-0.002391733708694211,-0.4396098681524821,-10.46108836967005
-0.002391153708694211,-0.4359520783251192,-10.39152204168219
-0.002390573708694211,-0.4359520783251175,-10.36589234189717
-0.002389993708694211,-0.4359520783251175,-10.30731017096003
-0.002389413708694211,-0.4396098681524838,-10.26703492844071
