#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A18A20
#Date Time: 2024-04-19 11:05:35.907
#Sample rate: 1.5873e+06Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 1 V/div Offset: 0 V Sample Mode: Average
#Channel 2: Range: 1 V/div Offset: 9.7 V Sample Mode: Average
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Square
#Frequency: 1 kHz
#Period: 1 ms
#Amplitude: 500 mV
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °

Time (s),Channel 1 (V),Channel 2 (V)
-0.00258048,9.190000047089081,-9.627151824527273
-0.00257985,9.160262774279371,-9.601518381050148
-0.00257922,9.297797661024335,-9.751657121416219
-0.00257859,9.435332547769377,-9.8944720207889
-0.00257796,9.572867434514293,-10.03728692016145
-0.00257733,9.680665048449548,-10.14714453506346
-0.0025767,9.781028344182324,-10.25700214996542
-0.00257607,9.859088685307899,-10.34122632139035
-0.00257544,9.933431867332212,-10.41080281082829
-0.00257481,9.985472094749209,-10.46206969778254
-0.00257418,10.02264368576139,-10.5096746642401
-0.00257355,10.04494664036869,-10.53530810771724
-0.00257292,10.05609811767233,-10.54629386920744
-0.00257229,10.05238095857111,-10.54995578970417
-0.00257166,10.03379516306502,-10.52798426672376
-0.00257103,10.00405789025531,-10.49502698225317
-0.0025704,9.959451981040722,-10.44009817480216
-0.00256977,9.896260276320085,-10.36685976486752
-0.00256914,9.851654367105468,-10.32291671890668
-0.00256851,9.799614139688426,-10.27164983195239
-0.00256788,9.747573912271429,-10.22038294499814
-0.00256725,9.695533684854411,-10.15446837605693
-0.00256662,9.643493457437367,-10.09587764810916
-0.00256599,9.591453230020372,-10.04094884065818
-0.00256536,9.543130161704569,-9.993343874200646
-0.00256473,9.49852425249,-9.942076987246397
-0.0025641,9.457635502376608,-9.894472020788834
-0.00256347,9.409312434060785,-9.850528974828009
-0.00256284,9.364706524846216,-9.802924008370491
-0.00256221,9.312666297429198,-9.755319041912953
-0.00256158,9.275494706417023,-9.711375995952125
-0.00256095,9.234605956303669,-9.660109108997876
-0.00256032,9.193717206190296,-9.61616606303707
-0.00255969,9.219737319898794,-9.660109108997856
-0.00255906,9.372140843048648,-9.824895531350894
-0.00255843,9.505958570692412,-9.967710430723509
-0.0025578,9.636059139234961,-10.10686340959939
-0.00255717,9.736422434967782,-10.21305910400467
-0.00255654,9.825634253396995,-10.31559287791324
-0.00255591,9.907411753623704,-10.38516936735115
-0.00255528,9.970603458344369,-10.4547458567891
-0.00255465,10.01892652666015,-10.49868890274988
-0.00255402,10.05609811767233,-10.53530810771724
-0.00255339,10.06353243587476,-10.54995578970417
-0.00255276,10.07096675407719,-10.55727963069764
-0.00255213,10.06353243587476,-10.5426319487107
-0.0025515,10.04122948126745,-10.51699850523355
-0.00255087,10.00405789025531,-10.4767173797695
-0.00255024,9.940866185534643,-10.41080281082829
-0.00254961,9.888825958117648,-10.35587400337731
-0.00254898,9.844220048903036,-10.31925479840995
-0.00254835,9.792179821486018,-10.25334022946874
-0.00254772,9.743856753170235,-10.20573526301122
-0.00254709,9.684382207550764,-10.13615877357326
-0.00254646,9.636059139234941,-10.0775680456255
-0.00254583,9.591453230020372,-10.03728692016145
-0.0025452,9.535695843502138,-9.986020033207177
-0.00254457,9.491089934287569,-9.934753146252929
-0.00254394,9.442766865971747,-9.8908101002921
-0.00254331,9.401878115858374,-9.835881292841094
-0.00254268,9.357272206643806,-9.79193824688031
-0.00254205,9.312666297429198,-9.747995200919485
-0.00254142,9.271777547315805,-9.700390234461926
-0.00254079,9.227171638101238,-9.652785268004408
-0.00254016,9.193717206190296,-9.61616606303707
-0.00253953,9.297797661024287,-9.740671359925962
-0.0025389,9.435332547769315,-9.8908101002921
-0.00253827,9.576584593615509,-10.03728692016145
-0.00253764,9.688099366651928,-10.15446837605688
-0.00253701,9.792179821486018,-10.26066407046221
-0.00253638,9.873957321712794,-10.34855016238385
-0.00253575,9.944583344635859,-10.42178857231849
-0.00253512,9.996623572052879,-10.4767173797695
-0.00253449,10.04122948126748,-10.51699850523358
-0.00253386,10.07096675407719,-10.54629386920744
-0.00253323,10.07840107227962,-10.55361771020091
-0.0025326,10.07840107227962,-10.55727963069764
-0.00253197,10.05238095857111,-10.5316461872205
-0.00253134,10.02636084486258,-10.50235082324661
-0.00253071,9.978037776546801,-10.4547458567891
-0.00253008,9.92599754912978,-10.38516936735115
-0.00252945,9.873957321712741,-10.33756440089359
-0.00252882,9.825634253396958,-10.28995943443608
-0.00252819,9.773594025979939,-10.23136870648834
-0.00252756,9.721553798562944,-10.17277797854062
-0.00252693,9.662079252943469,-10.10686340959939
-0.0025263,9.617473343728882,-10.05559652264512
-0.00252567,9.572867434514293,-10.01165347668431
-0.00252504,9.520827207097275,-9.964048510226775
-0.00252441,9.476221297882667,-9.916443543769214
-0.00252378,9.431615388668099,-9.865176656814965
-0.00252315,9.390726638554726,-9.817571690357425
-0.00252252,9.346120729340159,-9.769966723899909
-0.00252189,9.305231979226766,-9.73334751893255
-0.00252126,9.260626070012179,-9.685742552475013
-0.00252063,9.212303001696375,-9.638137586017473
-0.00252,9.216020160797591,-9.649123347507675
-0.00251937,9.372140843048706,-9.806585928867291
-0.00251874,9.502241411591196,-9.953062748736574
-0.00251811,9.632341980133745,-10.09587764810919
-0.00251748,9.73270527586652,-10.20207334251442
-0.00251685,9.821917094295744,-10.30460711642301
